date,hour,patients,visits,speciality,humidity,temperature,aqi,rainfall,holiday,revisit,lagged
2021-01-01,0,30,33,General Medicine,88.34,29.83,353,12.31,0,0,33
2021-01-01,1,32,38,Orthopedics,30.4,14.02,210,0.1,0,0,31
2021-01-01,2,25,33,Neurology,60.73,22.81,125,0.95,0,0,24
2021-01-01,3,35,37,Cardiology,72.65,21.85,171,9.97,0,1,38
2021-01-01,4,27,27,Cardiology,51.27,25.59,161,0.0,0,1,24
2021-01-01,5,22,24,ENT,93.53,37.49,244,0.0,0,1,21
2021-01-01,6,21,25,General Medicine,29.89,23.69,138,4.09,0,1,24
2021-01-01,7,29,29,Dermatology,33.45,25.89,267,0.0,0,1,29
2021-01-01,8,34,36,Orthopedics,75.85,14.73,165,9.04,0,0,37
2021-01-01,9,48,52,Neurology,54.25,22.67,362,10.84,1,1,48
2021-01-01,10,38,36,Dermatology,27.68,15.4,239,1.51,0,0,36
2021-01-01,11,41,47,ENT,52.36,31.84,368,8.75,1,1,39
2021-01-01,12,39,40,Neurology,41.72,29.82,212,0.0,0,0,35
2021-01-01,13,34,37,Orthopedics,73.53,27.47,123,7.83,0,1,30
2021-01-01,14,26,31,Cardiology,93.97,14.46,111,0.0,1,1,23
2021-01-01,15,30,33,ENT,82.47,14.4,68,3.59,0,0,31
2021-01-01,16,17,16,ENT,74.16,23.92,362,3.27,0,1,14
2021-01-01,17,36,42,General Medicine,57.39,29.43,233,5.18,0,0,36
2021-01-01,18,51,52,Orthopedics,37.94,29.45,202,0.89,0,0,46
2021-01-01,19,44,50,Neurology,69.59,14.01,277,10.43,0,0,42
2021-01-01,20,39,44,ENT,68.22,17.71,264,8.13,0,0,36
2021-01-01,21,44,41,General Medicine,47.29,16.82,309,0.0,0,1,47
2021-01-01,22,25,28,General Medicine,47.52,18.38,292,5.0,0,0,21
2021-01-01,23,28,28,Pediatrics,53.16,37.9,232,7.4,0,0,29
2021-01-02,0,24,23,Dermatology,70.79,18.98,140,0.0,0,1,22
2021-01-02,1,22,26,Cardiology,91.26,37.98,160,14.95,0,0,17
2021-01-02,2,23,22,Dermatology,94.51,35.3,182,0.21,1,1,21
2021-01-02,3,18,17,ENT,77.79,28.68,154,0.97,0,1,16
2021-01-02,4,24,26,Cardiology,40.79,16.05,355,0.0,0,0,20
2021-01-02,5,15,22,Dermatology,25.34,37.39,94,4.21,0,0,17
2021-01-02,6,25,23,Dermatology,61.96,25.74,273,2.11,0,0,29
2021-01-02,7,16,24,Orthopedics,36.58,24.15,73,2.3,0,0,11
2021-01-02,8,39,44,Orthopedics,48.63,37.56,379,4.65,0,0,38
2021-01-02,9,33,32,ENT,80.9,11.22,287,6.24,0,0,37
2021-01-02,10,31,32,Neurology,29.92,35.85,114,6.19,1,0,27
2021-01-02,11,30,34,ENT,51.58,18.08,209,2.32,0,0,28
2021-01-02,12,31,36,Orthopedics,89.74,16.98,237,4.35,0,1,27
2021-01-02,13,16,21,Neurology,71.55,17.41,168,0.0,0,0,13
2021-01-02,14,25,31,General Medicine,37.57,36.01,258,6.43,0,0,22
2021-01-02,15,23,26,Pediatrics,27.34,11.85,167,2.82,1,0,18
2021-01-02,16,33,42,Neurology,42.52,16.95,66,0.52,0,1,34
2021-01-02,17,45,52,Orthopedics,73.95,22.59,105,0.0,0,0,44
2021-01-02,18,39,43,General Medicine,42.13,22.79,290,0.0,0,1,37
2021-01-02,19,41,48,ENT,64.18,33.67,178,0.0,0,0,36
2021-01-02,20,39,45,Neurology,38.17,9.45,112,0.0,0,0,39
2021-01-02,21,35,34,Pediatrics,74.4,36.56,222,0.0,0,0,33
2021-01-02,22,28,32,Pediatrics,43.17,41.69,329,0.0,0,0,25
2021-01-02,23,17,16,General Medicine,72.28,12.22,175,11.21,0,0,18
2021-01-03,0,22,27,Orthopedics,43.22,27.56,330,0.0,0,0,20
2021-01-03,1,20,21,Pediatrics,40.06,34.56,150,4.68,0,0,23
2021-01-03,2,23,28,Dermatology,47.42,19.97,265,0.63,0,0,20
2021-01-03,3,23,26,General Medicine,92.54,18.22,281,0.0,0,1,23
2021-01-03,4,20,24,ENT,49.17,25.28,340,2.9,0,0,20
2021-01-03,5,25,24,General Medicine,27.05,35.16,168,11.44,0,0,27
2021-01-03,6,16,18,General Medicine,92.26,9.79,245,6.18,0,0,20
2021-01-03,7,20,22,Pediatrics,79.65,8.23,130,0.0,0,0,15
2021-01-03,8,28,28,ENT,59.1,36.25,184,2.36,0,0,32
2021-01-03,9,35,38,Pediatrics,57.77,18.34,130,0.0,0,1,35
2021-01-03,10,29,32,Pediatrics,58.85,29.46,90,0.1,0,1,31
2021-01-03,11,38,44,Cardiology,38.49,20.73,80,3.19,0,1,40
2021-01-03,12,40,39,Cardiology,28.97,23.73,185,3.69,0,0,41
2021-01-03,13,24,27,Dermatology,48.05,34.93,226,8.21,0,1,25
2021-01-03,14,18,24,Cardiology,70.7,25.79,257,8.13,0,0,15
2021-01-03,15,19,21,Orthopedics,92.17,36.78,304,0.82,0,0,14
2021-01-03,16,23,29,General Medicine,89.74,27.7,225,10.91,0,1,20
2021-01-03,17,41,47,Dermatology,51.75,36.24,351,11.34,0,0,42
2021-01-03,18,49,55,Neurology,84.23,13.0,304,9.02,0,0,52
2021-01-03,19,52,49,Orthopedics,48.67,39.63,379,14.29,0,1,56
2021-01-03,20,42,45,Dermatology,26.34,39.66,240,3.68,0,0,44
2021-01-03,21,36,41,Dermatology,27.43,18.86,324,0.0,0,0,32
2021-01-03,22,13,16,Neurology,32.41,11.29,256,0.0,0,0,10
2021-01-03,23,19,26,Orthopedics,94.52,38.0,279,0.0,0,0,15
2021-01-04,0,37,40,General Medicine,53.02,25.91,393,15.64,1,0,36
2021-01-04,1,27,27,Neurology,74.7,37.26,368,0.0,0,0,30
2021-01-04,2,34,34,Pediatrics,61.71,8.32,177,7.61,0,0,38
2021-01-04,3,26,29,Pediatrics,67.91,12.94,388,0.2,0,1,30
2021-01-04,4,23,24,ENT,86.9,29.68,167,17.88,0,1,18
2021-01-04,5,27,34,Cardiology,74.05,36.61,76,1.47,0,1,25
2021-01-04,6,34,37,Pediatrics,92.94,11.5,61,7.3,0,0,37
2021-01-04,7,26,31,Cardiology,75.11,32.32,290,0.0,0,0,21
2021-01-04,8,39,38,Pediatrics,73.48,23.05,277,0.0,1,0,39
2021-01-04,9,39,38,Dermatology,47.12,27.49,155,2.19,0,0,36
2021-01-04,10,38,37,Pediatrics,48.42,10.71,162,13.09,0,0,34
2021-01-04,11,45,50,Cardiology,83.84,25.69,335,3.47,0,0,44
2021-01-04,12,34,34,Dermatology,44.46,30.43,141,8.6,0,0,36
2021-01-04,13,22,26,Cardiology,78.74,14.42,112,10.22,0,1,23
2021-01-04,14,30,30,Dermatology,50.1,35.68,329,0.0,0,0,26
2021-01-04,15,25,25,Orthopedics,65.93,20.87,339,3.11,0,0,21
2021-01-04,16,28,33,General Medicine,57.17,22.82,236,0.0,0,1,27
2021-01-04,17,40,43,Neurology,88.1,24.9,285,0.89,0,0,39
2021-01-04,18,45,50,Neurology,92.62,9.13,243,7.8,0,0,48
2021-01-04,19,33,31,Dermatology,91.85,17.57,302,9.75,0,0,35
2021-01-04,20,33,37,Orthopedics,68.24,22.41,171,3.97,0,0,30
2021-01-04,21,36,36,Orthopedics,63.55,14.82,291,6.2,0,0,31
2021-01-04,22,29,27,Pediatrics,81.84,17.26,291,4.82,0,0,27
2021-01-04,23,26,29,General Medicine,69.36,31.82,247,3.16,0,0,21
2021-01-05,0,24,27,ENT,45.91,18.29,101,5.52,1,0,28
2021-01-05,1,29,26,Dermatology,82.24,22.34,371,24.01,0,1,31
2021-01-05,2,32,33,ENT,85.58,41.46,314,0.0,0,0,28
2021-01-05,3,32,29,Neurology,46.5,24.26,369,7.45,0,1,35
2021-01-05,4,22,25,General Medicine,63.02,30.47,79,6.78,0,1,17
2021-01-05,5,28,30,Dermatology,64.84,22.24,363,0.0,0,0,27
2021-01-05,6,29,34,Cardiology,40.74,28.84,298,10.48,0,0,25
2021-01-05,7,31,38,Pediatrics,84.84,37.39,74,1.4,0,0,29
2021-01-05,8,42,41,Pediatrics,62.31,18.18,241,9.02,0,0,39
2021-01-05,9,38,38,General Medicine,69.1,37.2,121,0.0,0,1,39
2021-01-05,10,54,56,ENT,47.27,36.1,171,2.68,0,0,52
2021-01-05,11,45,50,General Medicine,57.48,20.81,208,0.0,0,0,44
2021-01-05,12,37,42,Cardiology,25.33,14.2,147,4.16,0,1,35
2021-01-05,13,23,24,Dermatology,84.84,36.81,174,11.62,0,0,19
2021-01-05,14,27,29,ENT,72.24,37.69,303,7.33,1,0,27
2021-01-05,15,27,26,Orthopedics,51.46,40.92,260,7.88,0,0,29
2021-01-05,16,29,33,Orthopedics,93.98,38.29,248,0.0,0,0,31
2021-01-05,17,45,51,General Medicine,41.51,25.42,333,2.23,0,1,49
2021-01-05,18,42,45,General Medicine,89.7,19.46,352,2.01,0,1,39
2021-01-05,19,50,54,Orthopedics,76.05,23.22,339,9.72,0,0,49
2021-01-05,20,52,57,Dermatology,41.14,20.82,162,0.0,0,0,54
2021-01-05,21,52,59,General Medicine,62.81,18.63,210,0.37,0,0,56
2021-01-05,22,38,42,Orthopedics,69.09,18.51,339,3.68,0,0,37
2021-01-05,23,29,31,Neurology,94.78,16.83,340,0.0,0,1,29
2021-01-06,0,22,22,Pediatrics,67.09,33.54,389,10.08,0,0,26
2021-01-06,1,34,38,Cardiology,37.38,18.18,142,0.0,0,0,32
2021-01-06,2,31,37,General Medicine,62.92,20.5,127,11.4,0,0,27
2021-01-06,3,34,37,Neurology,33.47,12.1,340,4.93,0,0,31
2021-01-06,4,22,27,Neurology,58.75,28.32,127,10.14,0,1,17
2021-01-06,5,27,27,Neurology,28.1,35.73,302,9.02,0,0,26
2021-01-06,6,22,24,Neurology,31.27,17.56,268,0.0,0,0,17
2021-01-06,7,18,24,Cardiology,47.48,36.23,68,5.51,0,0,20
2021-01-06,8,48,51,ENT,59.08,38.16,260,6.7,0,0,52
2021-01-06,9,46,48,General Medicine,43.36,22.34,222,10.44,0,0,48
2021-01-06,10,51,50,Neurology,37.76,28.44,309,12.93,0,0,49
2021-01-06,11,37,43,Orthopedics,29.0,29.52,203,7.29,0,1,40
2021-01-06,12,41,39,Orthopedics,26.82,10.87,393,10.04,0,1,39
2021-01-06,13,30,36,General Medicine,83.82,31.88,308,5.5,0,0,27
2021-01-06,14,21,28,Pediatrics,78.43,15.64,83,4.82,0,1,25
2021-01-06,15,32,38,Orthopedics,82.99,30.9,168,7.3,0,0,29
2021-01-06,16,27,33,ENT,58.98,22.4,236,0.0,0,0,31
2021-01-06,17,37,39,Dermatology,71.47,33.71,390,5.28,0,0,38
2021-01-06,18,42,46,General Medicine,37.57,20.58,200,9.97,1,0,46
2021-01-06,19,54,59,Pediatrics,26.63,41.44,128,0.0,0,0,54
2021-01-06,20,40,39,Neurology,81.82,26.81,316,3.94,0,0,39
2021-01-06,21,38,39,ENT,58.21,32.69,377,14.83,0,0,39
2021-01-06,22,30,36,Neurology,64.49,33.48,386,6.16,0,0,25
2021-01-06,23,23,31,Cardiology,44.26,39.06,124,7.71,1,1,23
2021-01-07,0,21,19,Orthopedics,75.9,34.2,352,2.93,0,0,21
2021-01-07,1,34,34,Orthopedics,54.85,28.78,258,6.96,0,0,35
2021-01-07,2,29,31,Orthopedics,51.62,17.77,335,6.06,0,1,25
2021-01-07,3,36,39,General Medicine,43.73,34.98,315,14.32,1,1,34
2021-01-07,4,24,23,Dermatology,85.9,30.11,101,2.39,0,0,19
2021-01-07,5,29,36,Neurology,88.46,9.71,232,11.19,0,1,31
2021-01-07,6,13,16,Pediatrics,87.34,40.0,124,0.0,0,0,12
2021-01-07,7,21,24,ENT,79.05,23.98,324,0.0,0,0,16
2021-01-07,8,37,41,Pediatrics,65.52,37.38,379,5.6,0,0,41
2021-01-07,9,42,50,Pediatrics,54.98,18.45,146,2.18,0,0,45
