_date,_patients,_facility,_hour,_temp,_aqi,_rain,_holiday,_revisit,_lagged,_doctors,_counters,_beds_occ
2021-01-01,30,General Medicine,0,29.83,353,12.31,0,0,33,,,
2021-01-01,28,Pediatrics,23,37.9,232,7.4,0,0,29,,,
2021-01-01,25,General Medicine,22,18.38,292,5.0,0,0,21,,,
2021-01-01,44,General Medicine,21,16.82,309,0.0,0,1,47,,,
2021-01-01,39,ENT,20,17.71,264,8.13,0,0,36,,,
2021-01-01,44,Neurology,19,14.01,277,10.43,0,0,42,,,
2021-01-01,51,Orthopedics,18,29.45,202,0.89,0,0,46,,,
2021-01-01,17,ENT,16,23.92,362,3.27,0,1,14,,,
2021-01-01,30,ENT,15,14.4,68,3.59,0,0,31,,,
2021-01-01,26,Cardiology,14,14.46,111,0.0,1,1,23,,,
2021-01-01,34,Orthopedics,13,27.47,123,7.83,0,1,30,,,
2021-01-01,39,Neurology,12,29.82,212,0.0,0,0,35,,,
2021-01-01,36,General Medicine,17,29.43,233,5.18,0,0,36,,,
2021-01-01,38,Dermatology,10,15.4,239,1.51,0,0,36,,,
2021-01-01,41,ENT,11,31.84,368,8.75,1,1,39,,,
2021-01-01,25,Neurology,2,22.81,125,0.95,0,0,24,,,
2021-01-01,35,Cardiology,3,21.85,171,9.97,0,1,38,,,
2021-01-01,27,Cardiology,4,25.59,161,0.0,0,1,24,,,
2021-01-01,22,ENT,5,37.49,244,0.0,0,1,21,,,
2021-01-01,32,Orthopedics,1,14.02,210,0.1,0,0,31,,,
2021-01-01,29,Dermatology,7,25.89,267,0.0,0,1,29,,,
2021-01-01,34,Orthopedics,8,14.73,165,9.04,0,0,37,,,
2021-01-01,48,Neurology,9,22.67,362,10.84,1,1,48,,,
2021-01-01,21,General Medicine,6,23.69,138,4.09,0,1,24,,,
2021-01-02,16,Neurology,13,17.41,168,0.0,0,0,13,,,
2021-01-02,17,General Medicine,23,12.22,175,11.21,0,0,18,,,
2021-01-02,28,Pediatrics,22,41.69,329,0.0,0,0,25,,,
2021-01-02,35,Pediatrics,21,36.56,222,0.0,0,0,33,,,
2021-01-02,39,Neurology,20,9.45,112,0.0,0,0,39,,,
2021-01-02,41,ENT,19,33.67,178,0.0,0,0,36,,,
2021-01-02,39,General Medicine,18,22.79,290,0.0,0,1,37,,,
2021-01-02,33,Neurology,16,16.95,66,0.52,0,1,34,,,
2021-01-02,23,Pediatrics,15,11.85,167,2.82,1,0,18,,,
2021-01-02,25,General Medicine,14,36.01,258,6.43,0,0,22,,,
2021-01-02,31,Orthopedics,12,16.98,237,4.35,0,1,27,,,
2021-01-02,45,Orthopedics,17,22.59,105,0.0,0,0,44,,,
2021-01-02,31,Neurology,10,35.85,114,6.19,1,0,27,,,
2021-01-02,22,Cardiology,1,37.98,160,14.95,0,0,17,,,
2021-01-02,23,Dermatology,2,35.3,182,0.21,1,1,21,,,
2021-01-02,18,ENT,3,28.68,154,0.97,0,1,16,,,
2021-01-02,24,Cardiology,4,16.05,355,0.0,0,0,20,,,
2021-01-02,15,Dermatology,5,37.39,94,4.21,0,0,17,,,
2021-01-02,24,Dermatology,0,18.98,140,0.0,0,1,22,,,
2021-01-02,25,Dermatology,6,25.74,273,2.11,0,0,29,,,
2021-01-02,33,ENT,9,11.22,287,6.24,0,0,37,,,
2021-01-02,30,ENT,11,18.08,209,2.32,0,0,28,,,
2021-01-02,16,Orthopedics,7,24.15,73,2.3,0,0,11,,,
2021-01-02,39,Orthopedics,8,37.56,379,4.65,0,0,38,,,
2021-01-03,40,Cardiology,12,23.73,185,3.69,0,0,41,,,
2021-01-03,13,Neurology,22,11.29,256,0.0,0,0,10,,,
2021-01-03,36,Dermatology,21,18.86,324,0.0,0,0,32,,,
2021-01-03,42,Dermatology,20,39.66,240,3.68,0,0,44,,,
2021-01-03,19,Orthopedics,23,38.0,279,0.0,0,0,15,,,
2021-01-03,49,Neurology,18,13.0,304,9.02,0,0,52,,,
2021-01-03,41,Dermatology,17,36.24,351,11.34,0,0,42,,,
2021-01-03,23,General Medicine,16,27.7,225,10.91,0,1,20,,,
2021-01-03,19,Orthopedics,15,36.78,304,0.82,0,0,14,,,
2021-01-03,18,Cardiology,14,25.79,257,8.13,0,0,15,,,
2021-01-03,24,Dermatology,13,34.93,226,8.21,0,1,25,,,
2021-01-03,52,Orthopedics,19,39.63,379,14.29,0,1,56,,,
2021-01-03,38,Cardiology,11,20.73,80,3.19,0,1,40,,,
2021-01-03,35,Pediatrics,9,18.34,130,0.0,0,1,35,,,
2021-01-03,28,ENT,8,36.25,184,2.36,0,0,32,,,
2021-01-03,20,Pediatrics,7,8.23,130,0.0,0,0,15,,,
2021-01-03,16,General Medicine,6,9.79,245,6.18,0,0,20,,,
2021-01-03,25,General Medicine,5,35.16,168,11.44,0,0,27,,,
2021-01-03,20,ENT,4,25.28,340,2.9,0,0,20,,,
2021-01-03,23,General Medicine,3,18.22,281,0.0,0,1,23,,,
2021-01-03,23,Dermatology,2,19.97,265,0.63,0,0,20,,,
2021-01-03,20,Pediatrics,1,34.56,150,4.68,0,0,23,,,
2021-01-03,22,Orthopedics,0,27.56,330,0.0,0,0,20,,,
2021-01-03,29,Pediatrics,10,29.46,90,0.1,0,1,31,,,
2021-01-04,30,Dermatology,14,35.68,329,0.0,0,0,26,,,
2021-01-04,25,Orthopedics,15,20.87,339,3.11,0,0,21,,,
2021-01-04,28,General Medicine,16,22.82,236,0.0,0,1,27,,,
2021-01-04,45,Neurology,18,9.13,243,7.8,0,0,48,,,
2021-01-04,22,Cardiology,13,14.42,112,10.22,0,1,23,,,
2021-01-04,33,Orthopedics,20,22.41,171,3.97,0,0,30,,,
2021-01-04,36,Orthopedics,21,14.82,291,6.2,0,0,31,,,
2021-01-04,29,Pediatrics,22,17.26,291,4.82,0,0,27,,,
2021-01-04,26,General Medicine,23,31.82,247,3.16,0,0,21,,,
2021-01-04,33,Dermatology,19,17.57,302,9.75,0,0,35,,,
2021-01-04,34,Dermatology,12,30.43,141,8.6,0,0,36,,,
2021-01-04,40,Neurology,17,24.9,285,0.89,0,0,39,,,
2021-01-04,38,Pediatrics,10,10.71,162,13.09,0,0,34,,,
2021-01-04,37,General Medicine,0,25.91,393,15.64,1,0,36,,,
2021-01-04,27,Neurology,1,37.26,368,0.0,0,0,30,,,
2021-01-04,34,Pediatrics,2,8.32,177,7.61,0,0,38,,,
